area,id,lat,lon,radius_km
Area23,S4,45.185170,8.395137,300
Area23,S5,37.599329,14.319824,300
Area23,S6,40.133460,8.910780,300
Area24,S1,46.796854,8.306508,300
Area25,S1,38.835440,21.713115,300
Area25,S2,41.260880,23.276215,300
Area26,S1,41.683540,21.626566,300
Area27,S1,41.280462,20.116781,300
Area28,S1,42.545994,20.957034,300
Area29,S1,42.741404,19.446579,300
Area30,S1,38.246975,33.965572,300
Area30,S2,38.246975,40.201401,300
Area30,S3,38.246975,27.729742,300
Area30,S4,40.672415,32.406614,300
Area30,S5,40.672415,41.760359,300
Area30,S6,38.246975,37.083487,300
Area30,S7,38.246975,43.319316,300
Area30,S8,40.672415,35.524529,300
Area30,S9,41.254505,27.103246,300
Area31,S1,48.763841,19.351837,300
Area32,S1,65.063498,16.233721,300
Area32,S2,60.212617,16.233721,300
Area32,S3,67.488938,18.836897,300
Area32,S4,57.787177,13.630545,300
Area32,S5,62.638058,13.630545,300
Area33,S1,79.195890,16.481094,300
Area33,S2,60.504324,7.822707,300
Area33,S3,70.206085,24.806483,300
Area33,S4,65.355205,13.483966,300
Area33,S5,67.780645,16.314595,300
Area33,S6,80.053245,22.524806,300
Area33,S7,77.944227,22.632273,300
Area34,S1,64.697253,26.385808,300
Area34,S2,62.271813,23.515701,300
Area34,S3,69.548134,26.385808,300
Area34,S4,62.271813,29.255916,300
Area35,S1,58.697071,26.142054,300
Area36,S1,56.857666,24.940212,300
Area37,S1,57.256305,10.274553,300
Area37,S2,55.629607,11.911544,300
Area38,S1,65.921823,-21.455399,300
Area38,S2,65.921823,-15.713828,300
Area39,S1,44.483521,-97.269591,300
Area39,S2,44.483521,-118.594406,300
Area39,S3,44.483521,-106.408797,300
Area39,S4,44.483521,-88.130384,300
Area39,S5,39.632641,-109.455199,300
Area39,S6,39.632641,-94.223188,300
Area39,S7,39.632641,-78.991178,300
Area39,S8,34.781761,-109.455199,300
Area39,S9,34.781761,-100.315993,300
Area39,S10,34.781761,-88.130384,300
Area39,S11,37.207201,-117.071205,300
Area39,S12,34.781761,-82.037580,300
Area39,S13,39.632641,-103.362395,300
Area39,S14,39.632641,-85.083982,300
Area39,S15,46.908962,-114.024802,300
Area39,S16,34.781761,-94.223188,300
Area39,S17,29.930880,-97.269591,300
Area39,S18,39.632641,-121.640808,300
Area39,S19,42.058081,-114.024802,300
Area39,S20,42.058081,-74.421574,300
Area39,S21,46.908962,-101.839194,300
Area39,S22,32.356321,-104.885596,300
Area39,S23,46.908962,-92.699987,300
Area39,S24,29.930880,-91.176786,300
Area39,S25,39.632641,-100.315993,300
Area39,S26,46.908962,-120.117607,300
Area39,S27,29.930880,-85.083982,300
Area39,S28,34.781761,-115.548004,300
Area39,S29,39.632641,-91.176786,300
Area39,S30,44.483521,-69.851971,300
Area39,S31,46.908962,-107.931998,300
Area39,S32,44.483521,-85.083982,300
Area39,S33,27.505440,-80.514379,300
Area39,S34,34.781761,-78.991178,300
